,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SF ID,Remote/Onsite,Primary Work Month,Time Zone,Task ID,Company,"Executive 
Sponsor",Project Lead,Project Support,NVA ,Billing/Set Up,Products,Status,Next Steps,Contract Signed,SRA Enabled,SRA Kickoff (SRA),Receive Policies and Procedures/BAA (SRA),Review Policies and Procedures (SRA),Schedule Onsite/Remote Interview (SRA),Go Onsite/Have Interview (SRA),Recieve Requested Follow up Documentation (SRA),Review SRA (SRA),Schedule Final SRA Report (SRA),Present Final SRA Report (SRA),NVA Enabled,NVA Kickoff (NVA),Receive Network Security Platform,Receive Credentials (NVA),Verify Access (NVA),Execute External Scan,Execute Dark Web Scan,Install Nessus,Execute Internal Scan,AdTidy,SpecOps,Nmap Scan,Scans Completed (NVA),Access Removed (NVA),Compile Report (NVA),Schedule Final NVA Report (NVA),Present Final NVA Report (NVA),Total Days,P+P Days,Wrap Up Days,NVA Access,NVA Scans Complete,NVA Wrap Up Days,Kickoff + 30 days,ACD,Disparity,Kickoff + 28 days,ACD,Disparity,
,,,,,Q4 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3393,,,,,CCHS (Renewal),Amanda,Amanda,Gavin,,SRA (Billed),NA,NA,DONE,NA,,7/23/21,8/2/21,9/27/21,7/23/21,8/31/21,Not Applicable,10/5/21,10/20/21,11/8/21,,NA,NA,NA,NA,NA,NA,,,,,,,,NA,NA,NA,77,40,25,,,,8/20/2021,11/8/2021,80,,,,
3757,,,,,Imperial Health (Renewal),Joe,Joe,Rachel,,SRA (Billed),NA,NA,DONE,NA,,10/15/21,10/15/21,10/29/21,10/14/21,11/3/21,Not Applicable,11/9/21,11/9/21,11/18/21,,NA,NA,NA,NA,NA,NA,,,,,,,,NA,NA,NA,25,10,6,,,,11/12/2021,11/18/2021,6,,,,
3612,,,,,Quatris (Renewal) ,Amanda,Amanda,Gavin,,SRA (Billed),NA,NA,DONE,NA,,10/5/21,10/15/21,11/3/21,10/5/21,Wed 11/3-4/21,Not Applicable,11/4/21,10/5/21,11/18/21,,NA,NA,NA,NA,NA,NA,,,,,,,,NA,NA,NA,33,11,1,,,,11/2/2021,11/18/2021,16,,,,
5807,,,,,Clinica Hispana (Renewal),Joe,Joe,NA,,SRA (Billed),NA,NA,DONE,NA,,10/27/21,NA,NA,10/27/21,11/4/21,Not Applicable,11/23/21,NA,11/23/21,,NA,NA,NA,NA,NA,NA,,,,,,,,NA,NA,NA,20,0,13,,,,11/24/2021,11/23/2021,-1,,,,
6121,,,,,Volunteers of America,Amanda,Amanda,Rachel,,SRA (Billed),NA,NA,DONE,NA,,6/1/21,6/1/21,NA,7/8/21,7/21/21,Not Applicable,NA,11/29/21,11/29/21,,NA,NA,NA,NA,NA,NA,,,,,,,,NA,NA,NA,130,0,0,,,,6/29/2021,11/29/2021,153,,,,129
8473,,,,,NW Brain & Spine (Remote),Joe,Gavin,Gavin,,SRA (Billed),NA,NA,DONE,NA,,9/15/21,9/3/21,10/15/21,10/11/21,10/22/21,Not Applicable,12/2/21,11/29/21,12/3/21,,NA,NA,NA,NA,NA,NA,,,,,,,,NA,NA,NA,58,35,29,,,,10/13/2021,12/3/2021,51,,,,
3437,,,,,HRH (Renewal),Joe,Joe,Rachel,,SRA (Billed),NA,NA,DONE,NA,,10/5/21,10/5/21,11/5/21,10/5/21,Wed 11/9-10/21,Not Applicable,11/18/21,10/5/21,12/7/21,,NA,NA,NA,NA,NA,NA,,,,,,,,NA,NA,NA,46,23,6,,,,11/2/2021,12/7/2021,35,,,,
8336,,,,,Pueblo Community Health Center,Shane,Shane,NA,,NVA for DeliverHealth,NA,NA,DONE,NA,,NA,NA,NA,NA,NA,Not Applicable,NA,NA,NA,,10/29/21,10/28/21,NA,NA,Thu 11/4/21,Thu 11/4/21,,,,,,,,Mon 11/29/21,Thu 12/2/21,12/7/2021,28,0,0,,,,,,,11/26/2021,12/7/2021,11,
8741,,,,,The Rose,Joe,Joe,James,,SRA + NVA (Billed),NA,NA,DONE,NA,,11/18/21,11/22/21,11/29/21,11/17/21,12/1/21,Not Applicable,12/10/21,12/6/21,12/10/21,,11/18/21,11/30/21,NA,NA,Tue 11/30/21,Fri 12/3/21,,,,,,,,Fri 12/10/21,Mon 12/6/21,12/10/2021,17,5,7,,,,12/16/2021,12/10/2021,-6,12/16/2021,12/10/2021,-6,
8498,,,,,HOPE Clinic,Joe,Joe,Rachel,,SRA (Billed),NA,NA,DONE,NA,,11/17/21,11/23/21,11/30/21,11/9/21,12/2-3/21,Not Applicable,12/13/21,12/8/21,12/13/21,,NA,NA,NA,NA,NA,NA,,,,,,,,NA,NA,NA,19,5,6,,,,12/15/2021,12/13/2021,-2,,,,
5776,,,,,Bone & Joint (Renewal),Amanda,Amanda,Rachel,,SRA + NVA (Billed),NA,NA,DONE,NA,,9/13/21,10/6/21,11/3/21,10/15/21,Thu 11/10-11/21,Not Applicable,12/15/21,12/6/21,12/16/21,,10/11/21,10/20/21,NA,NA,Fri 10/22/21, Tue 11/2/2021,,,,,,,,Thu 12/9/21,Wed 12/15/21,12/16/2021,69,20,24,,,,10/11/2021,12/16/2021,66,11/8/2021,12/16/2021,38,
8553,,,,,Abbeville Area Medical Center,Joe,Shane,NA,,NVA for DeliverHealth,NA,NA,DONE,NA,,NA,NA,NA,NA,NA,Not Applicable,NA,NA,NA,,11/23/21,11/24/21,NA,NA,Wed 11/24/21,Thu 12/2/21,,,,,,,,,Mon 12/13/21,12/16/2021,18,0,0,,,,,,,12/21/2021,12/16/2021,-5,
3657,,,,,Spokane Digestive (Renewal),Amanda,Amanda,James,,SRA (Billed),NA,NA,DONE,NA,,10/15/21,10/15/21,10/29/21,10/15/21,11/2/21,Not Applicable,12/20/21,12/13/21,12/20/21,,NA,NA,NA,NA,NA,NA,,,,,,,,NA,NA,NA,47,10,34,,,,11/12/2021,12/20/2021,38,,,,
5361,,,,,Seattle Rheumatology (Renewal),Joe,Joe,Rachel,,SRA (Billed),NA,NA,DONE,NA,,9/29/21,NA,NA,9/29/21,11/11/21,Not Applicable,12/23/21,12/23/21,12/23/21,,NA,NA,NA,NA,NA,NA,,,,,,,,NA,NA,NA,62,0,30,,,,10/27/2021,12/23/2021,57,,,,
5982,,,,,Physician's Clinic (Renewal),Joe,Joe,James,,SRA (Billed),NA,NA,DONE,NA,,11/8/21,11/8/21,11/10/21,11/1/21,11/5/21,Not Applicable,12/27/21,12/27/21,12/27/21,,NA,NA,NA,NA,NA,NA,,,,,,,,NA,NA,NA,36,3,36,,,,12/6/2021,12/27/2021,21,,,,
8481,,,,,Rheumatology Solutions (Remote),Joe,Gavin,Rachel,,SRA (Billed),NA,NA,DONE,NA,,12/9/21,11/29/21,12/16/21,12/9/21,12/17/21,Not Applicable,12/28/21,12/17/21,12/28/21,,NA,NA,NA,NA,NA,NA,,,,,,,,NA,NA,NA,14,16,7,,,,1/6/2022,12/28/2021,-9,,,,
8503,,,,,"VBCare Network, LLC",Amanda,Amanda,NA,,SRA (Billed),NA,NA,DONE,NA,,10/8/21,NA,NA,11/11/21,12/7/21,Not Applicable,12/30/21,12/23/21,12/30/21,,NA,NA,NA,NA,NA,NA,,,,,,,,NA,NA,NA,60,0,17,,,,11/5/2021,12/30/2021,55,,,,
5754,,,,,Maier MD Rheumatology (Renewal),Amanda,Amanda,Rachel,,SRA + NVA (Billed),NA,NA,DONE,NA,,10/21/21,NA,NA,10/21/21,11/5/21,Not Applicable,12/30/21,12/23/21,12/30/21,,11/8/21,11/8/21,NA,NA,Mon 11/8/21,Wed 11/11/21,,,,,,,,Thu 12/30/21,Thu 12/23/21,12/30/2021,51,0,39,,,,11/18/2021,12/30/2021,42,12/6/2021,12/30/2021,24,
,,,,,Totals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,10,16,,,,,,38,,,12,
,,,,,Q1 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8727,,,,,Federal Way Naturopathy,Joe,Gavin,NA,,SRA (Billed),NA,NA,DONE,NA,,11/11/21,NA,NA,11/8/21,11/16/21,Not Applicable,12/29/21,12/13/21,1/10/22,,NA,NA,NA,NA,NA,NA,,,,,,,,NA,NA,NA,43,0,31,,,,12/9/2021,1/10/2022,32,,,,
5782,,,,,Hinet Managed IT Services (Renewal) (Remote),Amanda,Gavin,Gavin,,SRA + NVA (Billed),NA,NA,DONE,NA,,11/17/21,12/7/21,12/21/21,12/13/21,12/22/21,Not Applicable,1/11/22,1/4/22,1/11/22,,11/17/21,12/7/21,NA,NA,Wed 12/8/21,Wed 12/8/21,,,,,,,,Tue 1/11/22,Tue 1/4/22,1/11/2022,40,10,14,,,,12/15/2021,1/11/2022,27,12/15/2021,1/11/2022,27,
8505,,,,,Passages,Joe,Gavin,Gavin,,SRA + NVA (Billed),NA,NA,DONE,NA,,10/15/21,10/15/21,11/12/21,10/15/21,11/15/21,Not Applicable,1/6/22,12/21/21,1/6/22,,10/28/21,10/28/21,NA,NA,Wed 11/3/21,Wed 11/3/21,,,,,,,,Tue 11/23/21,Wed 11/17/21,1/6/2022,60,20,38,,,,11/12/2021,1/6/2022,55,11/25/2021,1/6/2022,42,
6088,,,,,Arizona Alliance for Community Health Centers,Amanda,Amanda,Gavin,,SRA (Billed),NA,NA,DONE,NA,,10/18/21,11/23/21,12/7/21,11/4/21,12/8/21,Not Applicable,1/13/22,1/10/22,1/13/22,,NA,NA,NA,NA,NA,NA,,,,,,,,NA,NA,NA,64,10,26,,,,11/15/2021,1/13/2022,59,,,,
6123,,,,,Conroy Orthopaedic & Sports Physical Therapy (Remote),Joe,Gavin,Rachel,,SRA (Billed),NA,NA,DONE,NA,,9/28/20,NA,NA,10/26/20,12/15/20,Not Applicable,12/31/20,1/11/21,1/17/21,,NA,NA,NA,NA,NA,NA,,,,,,,,NA,NA,NA,80,0,12,,,,10/26/2020,1/17/2021,83,,,,
